label,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
Normal,0,0,0,0.33229875564575195,0.45106369256973267,0.36680346727371216,0,0,0,0.15314973890781403,0.18894062936306,0.6159179210662842,0.6134457588195801,0.1070285513997078,0,0,0.1039784774184227,0,0,0.16925077140331268,0.28155189752578735,0,0,0,0,0,0,0,0,0,0.19387507438659668,0.20161715149879456,0,0,0,0,0,0,0.27396872639656067,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.5271474719047546,0.6302247047424316,0.5686808228492737,0,0,0,0.4370998740196228,0.39416050910949707,0.7883896827697754,0.7835322022438049,0,0,0,0,0,0,0.19222019612789154,0.23089857399463654,0,0,0,0,0,0,0,0,0,0.15715035796165466,0.16330134868621826,0,0,0,0,0,0,0.21671679615974426,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.56044602394104,0.6348646283149719,0.61097252368927,0,0,0,0.37702834606170654,0.3838289976119995,0.7912265062332153,0.7873938083648682,0,0.10020565241575241,0,0,0,0,0.18358191847801208,0.229402095079422,0,0,0,0,0,0,0,0,0,0.16591903567314148,0.17540307343006134,0,0,0,0,0,0,0.21056662499904633,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.34060144424438477,0.45646920800209045,0.3601853549480438,0,0,0,0.22771920263767242,0.2403820902109146,0.5731974840164185,0.5706686973571777,0,0.2313501387834549,0.22237028181552887,0,0,0,0.17665590345859528,0.2824375629425049,0,0,0,0,0,0,0,0,0,0.15319037437438965,0.17421245574951172,0,0,0,0,0,0,0.19088420271873474,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.32068556547164917,0.45771706104278564,0.36677536368370056,0,0,0,0.1971822828054428,0.2162569761276245,0.5927940607070923,0.5935770273208618,0,0.245869979262352,0.23793794214725494,0,0,0,0.17873552441596985,0.28038159012794495,0,0,0,0,0,0,0,0,0,0.1631774604320526,0.17582297325134277,0,0,0,0,0,0,0.263129323720932,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.2371886968612671,0.4205187261104584,0.3152264356613159,0,0,0,0.24054314196109772,0.25296130776405334,0.6129686832427979,0.6119484305381775,0,0.25998565554618835,0.25270599126815796,0,0,0,0.23589281737804413,0.28448486328125,0,0,0,0,0,0,0,0,0,0.14982421696186066,0.15709641575813293,0,0,0,0,0,0,0.2536976635456085,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.2379787266254425,0.4205678403377533,0.3010130822658539,0,0,0,0.26986974477767944,0.28878095746040344,0.616536021232605,0.6159238815307617,0,0.23832620680332184,0.2303486317396164,0,0,0,0.23676130175590515,0.28886187076568604,0,0,0,0,0,0,0,0,0,0.20350873470306396,0.22452110052108765,0,0,0,0,0,0,0.2383684366941452,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.256412148475647,0.4214792549610138,0.3066401183605194,0,0,0,0.2451716661453247,0.26848652958869934,0.5923045873641968,0.5942506790161133,0,0.2507613003253937,0.2427729070186615,0,0,0,0.21555568277835846,0.2707367539405823,0,0,0,0,0,0,0,0,0,0.18273773789405823,0.21103273332118988,0,0,0,0,0,0,0.2620158791542053,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.25765278935432434,0.4241107404232025,0.3156088888645172,0,0,0,0.24403667449951172,0.25025904178619385,0.5881800055503845,0.5937000513076782,0,0.25253137946128845,0.24570633471012115,0,0,0,0.2160617858171463,0.2639531195163727,0,0,0,0,0,0,0,0,0,0.20975591242313385,0.25165438652038574,0,0,0,0,0,0,0.2912057340145111,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.2888179123401642,0.42529869079589844,0.30412396788597107,0,0,0,0.24366308748722076,0.2641877830028534,0.5912085175514221,0.5962092876434326,0,0.24224555492401123,0.2389381378889084,0,0,0,0.20086131989955902,0.2646919786930084,0,0,0,0,0,0,0,0,0,0.17929357290267944,0.20636357367038727,0,0,0,0,0,0,0.3534884750843048,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.2878612279891968,0.44581732153892517,0.32068273425102234,0,0,0,0.2471807599067688,0.26025569438934326,0.5946711897850037,0.6023354530334473,0,0.2033967524766922,0.2063053995370865,0,0,0,0.21371270716190338,0.2646457850933075,0,0,0,0,0,0,0,0,0,0.20411062240600586,0.25633737444877625,0,0,0,0,0,0,0.37530872225761414,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.2573964297771454,0.4395933449268341,0.30688777565956116,0,0,0,0.241471529006958,0.25694915652275085,0.5971447825431824,0.6032235622406006,0,0.18735019862651825,0.18919003009796143,0,0,0,0.20961731672286987,0.26599958539009094,0,0,0,0,0,0,0,0,0,0.16870805621147156,0.21351544559001923,0,0,0,0,0,0,0.4029940962791443,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.22705170512199402,0.4205193817615509,0.3031339943408966,0,0,0,0.21780915558338165,0.23497843742370605,0.5454204082489014,0.5485694408416748,0,0.11550286412239075,0.13198916614055634,0,0,0,0.20235364139080048,0.24679915606975555,0,0,0,0,0,0,0,0,0,0.11410737782716751,0.13843737542629242,0,0,0,0,0,0,0.3698062002658844,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.19921362400054932,0.2931959927082062,0.2416093796491623,0,0,0,0,0,0.3710843622684479,0.3632456064224243,0,0,0,0.10057849436998367,0,0,0.1449899673461914,0.16075104475021362,0,0,0,0,0,0,0,0,0,0.16024692356586456,0.20567025244235992,0,0,0,0,0,0,0.476573646068573,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.1886807233095169,0.2732873260974884,0.242621049284935,0,0,0,0,0,0.3393634855747223,0.3389314115047455,0.10790096968412399,0,0,0.10750043392181396,0,0,0.14499276876449585,0.15796402096748352,0,0,0,0,0,0,0,0,0,0.1647823303937912,0.21632730960845947,0,0,0,0,0,0,0.5191894173622131,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.48465126752853394,0.5989007353782654,0.5988771915435791,0,0,0,0.4353189766407013,0.42573073506355286,0.7699038982391357,0.7714134454727173,0,0,0,0,0,0,0.20858286321163177,0.255074143409729,0,0,0,0,0,0,0,0,0,0.11212890595197678,0.12629564106464386,0,0,0,0,0,0,0.2721920311450958,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.48270469903945923,0.635897696018219,0.6195580959320068,0,0,0,0.5278002023696899,0.44059303402900696,0.8121970891952515,0.812395453453064,0,0,0,0,0,0,0.19830365478992462,0.21949565410614014,0,0,0,0,0,0,0,0,0,0.12423823028802872,0.1311318278312683,0,0,0,0,0,0,0.21986089646816254,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.5431933403015137,0.6842359900474548,0.5954912900924683,0,0,0,0.5784726142883301,0.2944304645061493,0.7781227827072144,0.7802615165710449,0,0,0,0,0,0,0.1382724493741989,0.3426814079284668,0,0,0,0,0,0,0,0,0,0,0.10485302656888962,0,0,0,0,0,0,0.2496236264705658,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.27294299006462097,0.42935457825660706,0.3732011914253235,0,0,0,0.13296154141426086,0.13112178444862366,0.4280894696712494,0.4276621341705322,0,0,0,0,0,0,0.18775470554828644,0.3077109754085541,0,0,0,0,0,0,0,0,0,0.17233219742774963,0.18247096240520477,0,0,0,0,0,0,0.2937096953392029,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.2396685928106308,0.45985081791877747,0.35021013021469116,0,0,0,0.12923988699913025,0.10118324309587479,0.4194298982620239,0.4058926999568939,0,0,0,0,0,0,0.216053307056427,0.28218457102775574,0,0,0,0,0,0,0,0,0,0.12649796903133392,0.12256211787462234,0,0,0,0,0,0,0.28659433126449585,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.2324196845293045,0.4341278672218323,0.3430619239807129,0,0,0,0.126685231924057,0,0.430426687002182,0.4142792224884033,0,0,0,0,0,0,0.22796952724456787,0.26325058937072754,0,0,0,0,0,0,0,0,0,0.11578702926635742,0.11644677817821503,0,0,0,0,0,0,0.27544069290161133,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.1934119611978531,0.3770720064640045,0.3249708414077759,0,0,0,0.11793263256549835,0,0.4114639163017273,0.39740538597106934,0,0,0,0,0,0,0.209041565656662,0.2488466203212738,0,0,0,0,0,0,0,0,0,0.1062476634979248,0.1116776093840599,0,0,0,0,0,0,0.34865912795066833,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.18379148840904236,0.3551753759384155,0.2731097340583801,0,0,0,0.12272924184799194,0,0.40682801604270935,0.390208899974823,0,0,0,0,0,0,0.21000626683235168,0.2454720288515091,0,0,0,0,0,0,0,0,0,0.10920407623052597,0.11579198390245438,0,0,0,0,0,0,0.3001561462879181,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.1842951476573944,0.3312264680862427,0.2505812346935272,0,0,0,0.13182951509952545,0,0.40619096159935,0.39436230063438416,0,0.10603974014520645,0.10553941875696182,0,0,0,0.20506428182125092,0.2719680070877075,0,0,0,0,0,0,0,0,0,0.1141352653503418,0.12203157693147659,0,0,0,0,0,0,0.3128596842288971,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.21434101462364197,0.43478265404701233,0.3323901295661926,0,0,0,0.23788776993751526,0.24537089467048645,0.5759789347648621,0.5743346214294434,0,0.20940940082073212,0.20463602244853973,0,0,0,0.24012480676174164,0.3033320903778076,0,0,0,0,0,0,0,0,0,0.1058134064078331,0.11305546760559082,0,0,0,0,0,0,0.25684264302253723,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.2610420286655426,0.47368234395980835,0.37027356028556824,0,0,0,0.21641506254673004,0.20785993337631226,0.6117273569107056,0.6081079244613647,0,0.21979235112667084,0.2130490094423294,0,0,0,0.22364363074302673,0.3077130615711212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22985999286174774,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.28267645835876465,0.4630858600139618,0.3899228870868683,0,0,0,0.2003886103630066,0.20755676925182343,0.6047807931900024,0.5971835851669312,0,0.2312084436416626,0.22187453508377075,0,0,0,0.2161368727684021,0.29408109188079834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12336856871843338,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.3029366135597229,0.43962717056274414,0.36048424243927,0,0,0,0.20308609306812286,0.20565609633922577,0.5970044136047363,0.5849695205688477,0,0.23354728519916534,0.22121606767177582,0,0,0,0.21963560581207275,0.27532801032066345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.28723204135894775,0.41755935549736023,0.3357374966144562,0,0,0,0.20522017776966095,0.20577576756477356,0.5798379182815552,0.5696573257446289,0,0.23633548617362976,0.22536906599998474,0,0,0,0.20689046382904053,0.27294468879699707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10221527516841888,0,0,0,0,0,0,0,0,0,0,0,0,0
